img_0000_frag_0010.png	фамилия
img_0000_frag_0013.png	съешь
img_0000_frag_0014.png	же
img_0000_frag_0015.png	этих
img_0000_frag_0016.png	мягких
img_0000_frag_0017.png	булок
img_0000_frag_0018.png	да
img_0000_frag_0021.png	выпей чаю
img_0000_frag_0023.png	фамилия
img_0000_frag_0024.png	тралалела
img_0000_frag_0025.png	мэн
img_0000_frag_0026.png	паралеллепипед
img_0000_frag_0027.png	я вот не понимаю
img_0000_frag_0029.png	я вот не
img_0000_frag_0034.png	пониаю прикола
img_0000_frag_0035.png	со всей этой
img_0000_frag_0036.png	современной музыкой
img_0000_frag_0037.png	и постоянными криками
img_0000_frag_0038.png	в театре
img_0000_frag_0039.png	и актовых залах
img_0000_frag_0040.png	кто нибудь
img_0000_frag_0041.png	может объяснить,
img_0000_frag_0042.png	почеиу это всем
img_0000_frag_0043.png	нравится
img_0000_frag_0045.png	потерянное поколение
img_0000_frag_0047.png	алексей вам
img_0000_frag_0048.png	кто то звонит
img_0000_frag_0049.png	возьмите
img_0000_frag_0050.png	трубку
img_0000_frag_0051.png	шишка
img_0000_frag_0052.png	ян топлэс
img_0000_frag_0056.png	тимур дай
img_0000_frag_0057.png	ему трубку
img_0000_frag_0060.png	мишка гуми беар
